Date Started,Date Read,Title,Author,Additional Authors
2011-09-14,2011-09-22,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,Dave Thomas
2011-09-27,2011-11-25,The Ruby Programming Lanaguage,David Flanagan,Yukihiro Matsumoto
2011-10-10,2011-10-13,Ristorante Paradiso,Natsume Ono,
2011-11-06,2011-11-13,"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory is Mostly Fiction, and 46 Other Ways You're Deluding Yourself",David McRaney,
2011-11-27,2011-12-17,"Heaven's Devils (StarCraft II, #1)",William C. Dietz,
2011-12-17,2011-12-29,The Art of Learning: A Journey in the Pursuit of Excellence,Josh Waitzkin,
2011-03-01,2011-03-02,"StarCraft: Ghost Academy, Volume 2 (StarCraft: Ghost Academy #2)",David Gerrold,Fernando Heinz Furukawa
2011-01-01,2011-01-31,Toyota Production System: Beyond large-scale production,Taiichi Ohno,
2011-02-01,2011-02-28,"Continuous Delivery: Reliable Software Releases Through Build, Test, and Deployment Automation",Jez Humble,David Farley
2011-03-02,2011-03-31,How to Win Friends & Influence People,Dale Carnegie,
2011-04-01,2011-04-30,Agile Product Management with Scrum: Creating Products That Customers Love,Roman Pichler,
2011-09-23,2011-10-09,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,
