Date Started,Date Read,Title,Author,Additional Authors
2012-07-09,2012-07-21,Exploring Everyday Things with R and Ruby: Learning About Everyday Things,Sau Sheong Chang,
2012-02-18,2012-02-21,"Gente, Vol. 3: The People of Ristorante Paradiso (Gente #3)",Natsume Ono,
2012-04-05,2012-04-24,Bridging the Communication Gap: Specification by Example and Agile Acceptance Testing,Gojko Adzic,
2012-06-19,2012-06-20,La Quinta Camera: The Fifth Room,Natsume Ono,
2012-01-22,2012-01-25,"Gente, Vol. 1: The People of Ristorante Paradiso (Gente #1)",Natsume Ono,
2012-03-25,2012-04-04,The Power Of Habit: Why We Do What We Do In Life And Business,Charles Duhigg,
2012-01-26,2012-01-28,Scripted GUI Testing with Ruby,Ian Dees,
2012-07-22,2012-07-25,"House of Five Leaves, Vol. 5 (House of Five Leaves / さらい屋五葉 #5)",Natsume Ono,
2012-04-01,2012-04-04,"House of Five Leaves, Vol. 1 (House of Five Leaves / さらい屋五葉 #1)",Natsume Ono,
2012-08-02,2012-08-29,Self-Organized Criticality: Emergent Complex Behavior in Physical and Biological Systems,Henrik Jeldtoft Jensen,
2012-01-01,2012-01-01,Tesoro,Natsume Ono,
2012-01-01,2012-01-08,Refactoring: Improving the Design of Existing Code,Martin Fowler,"Kent Beck, Don Roberts"
2012-01-01,2012-01-03,Designed for Use,Lukas Mathis,
2012-01-01,2012-02-09,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,
2012-01-30,2012-02-08,Eloquent Ruby,Russ Olsen,
2012-02-12,2012-02-21,The Elements of Style,William Strunk Jr.,
2012-02-12,2012-02-15,"Gente, Volume 2 (Gente #2)",Natsume Ono,
2012-02-12,2012-02-18,Design Patterns in Ruby,Russ Olsen,
2012-02-21,2012-03-07,Devils' Due (Starcraft II #2),Christie Golden,
2012-02-23,2012-03-12,"Build Awesome Command-Line Applications in Ruby: Control Your Computer, Simplify Your Life",David B. Copeland,
2012-03-06,2012-03-24,Specification by Example,Gojko Adzic,
2012-03-12,2012-03-15,The Cucumber Book,Matt Wynne,Aslak Hellesøy
2012-06-25,2012-06-28,"House of Five Leaves, Vol. 4 (House of Five Leaves / さらい屋五葉 #4)",Natsume Ono,
2012-04-06,2012-06-03,Lady Barberina & A Outra Volta do Parafuso,Henry James,
2012-04-24,2012-05-10,Agile Estimating and Planning,Mike Cohn,
2012-05-10,2012-05-21,"House of Five Leaves, Vol. 2 (House of Five Leaves / さらい屋五葉 #2)",Natsume Ono,
2012-05-21,2012-05-26,Metaprogramming Ruby,Paolo Perrotta,
2012-05-26,2012-05-27,"House of Five Leaves, Vol. 3 (House of Five Leaves / さらい屋五葉 #3)",Natsume Ono,
2012-05-27,2012-06-11,Starcraft: Spectres (Starcraft: Ghost Series #2),Nate Kenyon,
2012-05-28,2012-06-19,"Smart Thinking: Three Essential Keys to Solve Problems, Innovate, and Get Things Done",Art Markman,
2012-06-11,2012-06-17,The dRuby Book,Masatoshi Seki,
2012-06-17,2012-06-19,not simple,Natsume Ono,
2012-06-21,2012-07-08,Using JRuby: Bringing Ruby to Java,Charles O. Nutter,"Thomas Enebo, Nick Sieger, Ola Bini, Ian Dees"
2012-06-21,2012-07-28,Pomodoro Technique Illustrated,Staffan Noteberg,
2012-07-21,2012-08-01,Arduino Cookbook,Michael Margolis,
2012-07-27,2012-12-26,Visualizing Data: Exploring and Explaining Data with the Processing Environment,Ben Fry,
2012-08-28,2012-10-09,Seven Databases in Seven Weeks: A Guide to Modern Databases and the NoSQL Movement,Eric Redmond,Jim R. Wilson
2012-09-07,2012-10-07,Statistics in Plain English,Timothy C. Urdan,
2012-10-13,2012-11-29,Machine Learning for Hackers,Drew Conway,John Myles White
2012-10-13,2012-10-14,"House of Five Leaves, Vol. 6 (House of Five Leaves / さらい屋五葉 #6)",Natsume Ono,
2012-10-17,2012-10-20,"House of Five Leaves, Vol. 7 (House of Five Leaves / さらい屋五葉 #7)",Natsume Ono,
2012-10-21,2012-11-19,Magic for Beginners,Kelly Link,
2012-12-01,2012-12-18,R Cookbook,Paul Teetor,
2012-12-29,2012-12-30,Sinatra: Up and Running,Alan Harris,Konstantin Haase
