Date Started,Date Read,Title,Author,Additional Authors
2016-01-01,2016-01-10,"Spice & Wolf, Vol. 7: Side Colors","Isuna Hasekura",
2016-01-04,2016-01-08,"A Mágica da Arrumação: A Arte Japonesa de Colocar Ordem na Sua Casa e na Sua Vida","Marie Kondo",
2016-01-09,2016-01-20,"Seven Concurrency Models in Seven Weeks: When Threads Unravel","Paul Butcher",
2016-01-20,2016-01-29,"The Checklist Manifesto: How to Get Things Right","Atul Gawande",
2016-01-26,2016-02-03,"Spice & Wolf, Vol. 8: The Town of Strife I","Isuna Hasekura",
2016-02-05,2016-02-20,"Elasticsearch: The Definitive Guide","Clinton Gormley","Zachary Tong"
2016-02-20,2016-02-21,"O Seminarista","Rubem Fonseca",
2016-02-24,2016-03-15,"Getting Things Done: The Art of Stress-Free Productivity","David Allen",
2016-03-17,2016-03-21,"Leading Snowflakes","Oren Ellenbogen",
2016-03-22,2016-04-01,"The Unlikely Pilgrimage of Harold Fry","Rachel Joyce",
2016-04-02,2016-04-12,"Pepper: A History of the World's Most Influencial Spice","Marjorie Shaffer",
2016-04-14,2016-04-20,"Disgrace","J.M. Coetzee",
2016-04-22,2016-04-30,"Stoner","John Williams",
2016-05-02,2016-05-08,"As lendas de Dandara","Jarid Arraes",
2016-05-09,2016-05-10,"Little Guide to Empathetic Technical Leadership","Alex Harms",
2016-05-11,2016-06-07,"The Mindful Geek: Mindfulness Meditation for Secular Skeptics","Michael Taft",
2016-06-06,2016-06-30,"O Caminho Estreito para os Confins do Norte","Richard Flanagan",
2016-07-05,2016-07-10,"Spice & Wolf, Vol. 9: The Town of Strife II","Isuna Hasekura",
