Date Started,Date Read,Title,Author,Additional Authors
2017-01-01,2017-01-02,Attached,Amir Levine,Rachel Heller
2017-01-03,2017-01-15,Born for Love: Why Empathy is Essential -- and Endangered,Maia Sazalavitz,Bruce D. Perry
2017-01-04,2017-01-14,Por Quê? - Como Motivar Pessoas e Equipes A Agir,Simon Sinek,
2017-01-16,2017-01-25,A Coragem de Ser Imperfeito,Brené Brown,
2017-01-31,2017-03-21,Introduction to the Theory of Computation,Michael Sipser,
2017-02-04,2017-02-08,Ainda estou aqui,Marcelo Rubens Paiva,
2017-02-11,2017-02-18,Comunicação Não-Violenta,Marshall B. Rosenberg,
2017-02-20,2017-02-26,Gigantes Adormecidos,Sylvain Neuvel,
2017-03-01,2017-03-12,Assassin's Creed: A Cruzada Secreta,Oliver Bowden,
2017-03-13,2017-03-14,A Arte de Amar,Thich Nhat Hanh,
2017-03-15,2017-03-16,A Arte de Comer,Thich Nhat Hahn,
2017-03-17,2017-03-18,A Arte de Sentar,Thich Nhat Hahn,
2017-03-18,2017-03-31,Tudo é Óbivo,Duncan J. Watts,
2017-03-29,2017-04-09,Beyond Legacy Code,David Scott Bernstein,
2017-04-10,2017-04-25,O Xará,Jhumpa Lahiri,
2017-04-14,2017-04-19,99 Bottles of OOP,Sandy Metz,Katrina Owen
2017-04-21,2017-05-06,A Arte da Imperfeição,Brené Brown,
2017-04-27,2017-06-02,Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,
2017-05-08,2017-05-23,A Câmara Sangrenta e Outras Histórias,Angela Carter,
2017-06-03,2017-06-14,Vida e Proezas de Alexis Zorbás,Nikos Kazantzakis,
2017-06-15,2017-06-18,Fearless Refactoring: Rails Controllers,Andrzej Krzywda,
2017-06-17,2017-06-25,Adeus às Armas,Ernest Hemingway,
2017-06-27,2017-07-04,O Monge e o Executivo,James C. Hunter,
2017-06-27,2017-09-18,Management 3.0: Leading Agile Developers, Developing Agile Leaders,Jurgen Appelo,
2017-07-05,2017-07-12,As Intermitências da Morte,José Saramago,
2017-07-06,2017-10-14,The Art of Magic: The Gathering -- Zendikar,James Wyatt,
2017-07-13,2017-07-13,Managing Oneself,Peter F. Drucker,
2017-07-14,2017-07-26,Never Broken,Jewel,
2017-07-31,2017-08-18,Limonov,Emmanuel Carrère,
2017-08-21,2017-09-04,Multipliers: How the Best Leaders Make Everyone Smarter,Liz Wiseman,Greg McKeown
2017-09-13,2017-09-20,Os Irmãos Sisters,Patrick de Witt,
2017-09-22,2017-10-01,Azincourt,Bernard Cornwell
2017-10-02,2017-10-30,Being Wrong: Adventures in the Margin of Error,Kathryn Schulz,
2017-10-10,2017-10-20,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,
2017-10-24,2017-10-26,Três,M. Matiazi,
2017-10-26,2017-11-08,Outliers: The Story of Success,Malcolm Gladwell,
2017-10-28,2017-10-30,Hit Refresh,Satya Nadella,
2017-11-04,2017-11-18,Oryx and Crake,Margaret Atwood,
2017-11-10,2017-11-19,As Alegrias da Maternidade,Buchi Emecheta,
2017-11-25,2017-12-14,O Arqueiro (Grail Quest #1),Bernard Cornwell,
2017-12-05,2017-12-27,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Scott,
2017-12-21,2017-12-31,Contabilidade Para Leigos,Julio Sergio de Souza Cardozo,
