Date Started,Date Read,Title,Author,Additional Authors
2020-01-01,2020-01-08,The infnite game,Simon Sinek,
2020-01-02,2020-01-15,Range,David Epstein,
2020-01-20,2020-02-06,"Adeus, Gana",Taiye Selasi,
2020-01-29,2020-02-03,Finite and infinite games,James P. Carse,
2020-02-08,2020-02-15,Spice & Wolf Vol. 17,Isuna Hasekura,
2020-02-12,2020-02-21,Meditations,Marcus Aurelius,
2020-02-17,2020-02-26,Estação Atocha,Ben Lerner,
2020-02-21,2020-02-24,Talking as fast as I can,Lauren Graham,
2020-02-28,2020-03-06,The darkwater bride,Marty Ross,
2020-03-07,2020-03-19,Spice & Wolf Vol. 18,Isuna Hasekura,
2020-03-11,2020-03-16,It's Not What It Looks Like,Molly Burke,
2020-03-26,2020-05-09,Um homem bom é  difícil de encontrar e outras historias,Flannery O'Conner,
2020-03-30,2020-03-30,The half-life of Marie Curie,Lauren Gunderson,
2020-04-10,2020-05-01,The power of self-compassion,Laurie Cameron,
2020-05-16,2020-06-15,Lost in math,Sabine Hossenfelder,
2020-05-27,2020-06-02,The Man on the Mountaintop,Susan Trott,
2020-06-13,2020-06-25,How to Build Meaningful Relationships through Conversations,Carol Ann Lloyd,
2020-06-17,2020-07-09,O bom filho,You-Jeong Jeong,
2020-06-29,2020-07-30,Endless Forms Most Beautiful,Sean B. Carroll,
2020-07-02,2020-09-04,Kotlin in action,Dmitry Jemerov,Svetlana Isakova,
2020-08-03,2020-08-15,Tempo de migrar para o norte,Tayeb Salih,
2020-08-16,2020-08-17,Scott Pilgrim Vol. 1,Bryan Lee O'Malley,
2020-08-18,2020-09-01,A boa filha,Karin Slaughter,
2020-09-02,2020-09-06,Ponto cardeal,Léonor de Récondo,
2020-09-07,2020-09-15,Tiny beautiful things,Cheryl Strayed,
2020-09-07,2020-09-18,Spice & Wolf Vol. 19,Isuna Hasekura,
2020-09-18,2020-09-19,Second skin,Christian White,
2020-09-19,2020-09-20,Scott Pilgrim Vol. 2,Bryan Lee O'Malley,
2020-09-21,2020-10-01,A promessa & A pane,Friedrich Dürrennmatt,
2020-09-23,2020-10-08,Great Utopian and Dystopian Works of Literature,Pamela Bedore,
2020-10-03,2020-10-20,Pepper,Christine McFadden,
2020-10-11,2020-10-12,Thicker than water,Tyler Shultz,
2020-10-21,2020-10-22,Scott Pilgrim Vol. 3,Bryan Lee O'Malley,
2020-10-23,2020-10-30,"Sul da fronteira, oeste do sol",Haruki Murakami,
2020-10-30,2020-10-31,Murder by other means,John Scalzi,
2020-11-02,2020-11-10,1984,George Orwell,
2020-11-11,2020-11-15,O dia em que a poesia derrotou um ditador,Antonio Skármeta,
2020-11-16,2020-11-23,Fahrenheit 451,Ray Bradbury,
2020-12-07,2020-12-11,Measure what matters,John E. Doerr,
2020-12-23,2020-12-31,Todos os nosso ontens,Natalia Ginzburg,
