Date Started,Date Read,Title,Author,Additional Authors
2015-01-03,2015-03-22,"Gödel, Escher, Bach: An Eternal Golden Braid","Douglas R. Hofstadter",
2015-01-05,2015-01-12,"Axis (Spin, #2)",Robert Charles Wilson,
2015-01-13,2015-01-25,"Programming Elixir: Functional |> Concurrent |> Pragmatic |> Fun",Dave Thomas,
2015-01-27,2015-02-06,"Beautiful Visualization: Looking at Data through the Eyes of Experts",Julia Steele, Noah Iliinsky
2015-02-07,2015-02-23,"The Sketchnote Handbook: The Illustrated Guide to Visual Note Taking",Mike Rohde,
2015-02-24,2015-02-28,"Playing with Sketches: 50 Creative Exercises for Designers and Artists",Whitney Sherman,
2015-03-01,2015-03-15,"Ruby on Rails 4.0 Guide",Stefan Wintermeyer,
2015-03-16,2015-04-09,"The Rails 4 Way",Obie Fernandez,Kevin Faustino
2015-04-10,2015-04-18,"Shards of Honor (Vorkosigan Saga #1)",Lois McMaster Bujold,
2015-04-12,2015-05-17,"Maximizing Lead Generation: The Complete Guide for B2B Marketers","Ruth P. Stevens",
2015-04-22,2015-05-08,"Database Design and Relational Theory: Normal Forms and All That Jazz","Christopher J. Date",
2015-05-13,2015-05-22,"Ruby Under a Microscope: An Illustrated Guide to Ruby Internals","Pat Shaughnessy",
2015-05-19,2015-05-27,"Ignition Point (The Progenitor Saga 0.5)","Kate Corcino",
2015-05-25,2015-05-29,"What If?: Serious Scientific Answers to Absurd Hypothetical Questions","Randall Munroe",
2015-05-29,2015-07-18,"Natural Language Generation in Interactive Systems","Amanda Stent","Srinivas Bangalore"
2015-06-02,2015-06-13,"This is How You Die: Stories of the Inscrutable, Infallible, Inescapable Machine of Death (Machine of Death #2)","Ryan North","Mathew Bernardo, David Malki"
2015-06-15,2015-06-20,"Vortex (Spin Saga #3)","Robert Charles Wilson",
2015-06-25,2015-06-28,"Os Três Ratos Cegos e Outras Histórias","Agatha Christie",
2015-06-29,2015-07-01,"Confident Ruby","Avdi Grimm",
2015-07-02,2015-07-07,"How to Fail at Almost Everything and Still Win Big : Kind of the Story of My Life","Scott Adams",
2015-07-08,2015-07-14,"The Hobbit","J.R.R. Tolkien",
2015-07-15,2015-08-04,"When Cultures Collide: Leading Across Cultures","Richard D. Lewis",
2015-07-23,2015-08-13,"Spice & Wolf, Vol. 5 (Spice & Wolf #5)","Isuna Hasekura",
2015-08-04,2015-08-13,"The Culture Map: Breaking Through the Invisible Boundaries of Global Business","Erin Meyer",
2015-08-14,2015-08-19,"Rumo ao Farol","Virginia Woolf",
2015-08-20,2015-09-07,"Quiet: The Power of Introverts in a World That Can't Stop Talking","Susane Cain",
2015-08-24,2015-09-14,"Lovecraft's Monsters","Ellen Datlow","Stefan R. Dziemianowicz, Gemma Files, Howard Waldrop, Steven Utley, Karl Edward Wagner, Thomas Ligotti, William Browning Spencer, Brian Hodge, Fred Chappell, Steve Rasnic Tem, John Langan, Neil Gaiman, Joe R. Lansdale, Caitlín R. Kiernan, Laird Barron, Kim Newman, Elizabeth Bear, Nick Mamatas, Nadia Bulkin"
2015-09-09,,"Thinking, Fast and Slow","Daniel Kahneman",
2015-09-15,,"Her Smoke Rose Up Forever","James Tiptree Jr.",
